step,action,theta,theta_dot,cost,step_time
0,2.0,3.206592653589793,1.3,9.634422356122686,0.008259583999461029
1,2.0,3.2841568696334886,1.5512843208739133,9.234819873629112,0.008532291998562869
2,2.0,3.3713930188955366,1.7447229852409607,8.782940159633275,0.015728167003544513
3,2.0,3.465087300355066,1.8738856291905892,8.292821111197034,0.014222416997654364
4,2.0,3.561861011482652,1.9354742225517227,7.7802119689666345,0.005542832994251512
5,2.0,3.6583345173728126,1.929470117803212,7.262127162298798,0.006009042001096532
6,2.0,3.7512811470462513,1.8589325934687695,6.756101714806541,0.00792383299994981
7,2.0,3.8377548227225957,1.7294735135268893,6.279238117710656,0.015942250000080094
8,2.0,3.9151805878300405,1.5485153021488964,5.847236314960649,0.007102959003532305
9,2.0,3.981404856614633,1.3244853756918498,5.473619393645158,0.01133549999940442
10,2.0,4.03470970942394,1.0660970561861414,5.169298807023485,0.010874125000555068
11,2.0,4.073800941667494,0.7818246448710615,4.942504252102048,0.005555249997996725
12,2.0,4.097781992352193,0.47962101369398785,4.798991280136244,0.007568084001832176
13,2.0,4.106125537958634,0.1668709121288118,4.742373828891857,0.01212775000021793
14,2.0,4.09865222694464,-0.14946622027986242,4.774418793741256,0.005637207999825478
15,1.7379860593884753,4.073557500030735,-0.5018945382781117,4.90764485888078,0.0054099999979371205
16,1.0571218990490594,4.026286448182502,-0.9454210369646738,5.182974553455878,0.005469750001793727
17,-2.0,3.9350008575524593,-1.8257118126008463,5.84729257173768,0.005465709000418428
18,-2.0,3.801987217278991,-2.660272805469368,6.86404910127835,0.005478915998537559
19,-2.0,3.630970008012167,-3.420344185336473,8.204121427754226,0.005447042000014335
20,-2.0,3.4273249331331046,-4.072901497581244,9.814791136948864,0.005449208998470567
21,-2.0,3.1981101038873088,-4.58429658491592,11.619266527816064,0.005397082997660618
22,-2.0,2.9517769983832522,-4.92666211008113,11.140187402875348,0.005400333000579849
23,-2.0,2.697519312794219,-5.085153711780657,9.862489270141456,0.005416708001575898
24,-2.0,2.4443724253222996,-5.062937749438393,8.53829041914485,0.005479291001392994
25,-2.0,2.2003038796369356,-4.881370913707281,7.224115362464096,0.005452625002362765
26,-2.0,1.9715472414385868,-4.575132763966978,5.980182506016513,0.005543667000893038
27,-2.0,1.7623194150307628,-4.184556528156481,4.856821054328072,0.005444916001579259
28,-2.0,1.5749059179020104,-3.74826994257505,3.885281406483931,0.005488041999342386
29,-2.0,1.409992104109846,-3.298276275843287,3.075940372831177,0.005420042005425785
30,-2.0,1.26709449669832,-2.85795214823052,2.422317511720713,0.005418500004452653
31,-2.0,1.144980738547581,-2.442275163014778,1.90745168883285,0.005380749993491918
32,-2.0,1.0420183108719672,-2.059248553512275,1.5098526207067073,0.005425541996373795
33,-2.0,0.956434289941226,-1.711680418614822,1.2077515365223184,0.0054584579993388616
34,-2.0,0.8864930699706554,-1.3988243994114136,0.9815409331448675,0.005477209000673611
35,-2.0,0.8306090876133948,-1.1176796471452104,0.8148322357902203,0.005477166996570304
36,-2.0,0.7874129412312162,-0.8639229276435716,0.6946554225092187,0.00547579099657014
37,-2.0,0.755786670152871,-0.632525421566902,0.6112223316736034,0.00491383299959125
38,-2.0,0.7348802003009944,-0.4181293970375319,0.5575321280611267,0.004915207995509263
39,-2.0,0.7241174159388062,-0.21525568724376465,0.5289795331549726,0.004917042002489325
