step,action,theta,theta_dot,cost,step_time
0,0.7762943671132337,3.1974148613431423,1.1164441550669852,9.97020703403377,0.014356291998410597
1,1.840315777011551,3.2649471916429227,1.3506466059956057,9.650010761695084,0.0019140420045005158
2,1.8725512854450352,3.3419095837647066,1.5392478424356812,9.295692395823675,0.0019773339954554103
3,1.9914074628188376,3.426345784351976,1.6887240117453874,8.89199697687698,0.003646083001513034
4,1.9758683962120482,3.515066477968731,1.7744138723351017,8.450614993893582,0.0017313749995082617
5,1.994647864120915,3.6050650811279006,1.7999720631833955,7.981314931767047,0.0018655840030987747
6,1.9470306031272662,3.6929017800014625,1.756733977471239,7.500108816180715,0.0015876249963184819
7,1.998420314812595,3.7760840246203733,1.6636448923782174,7.022173861685189,0.002250083001854364
8,1.9651081461616196,3.851775782028334,1.5138351481592187,6.566189923829774,0.0020953749990439974
9,1.8595260281510708,3.9169650107330405,1.3037845740941274,6.144379801625836,0.002570208001998253
10,1.7304616167404705,3.9688833748155,1.038367281649189,5.771978410287171,0.003809292000369169
11,1.9825602321292182,4.008067181695267,0.7836761375953525,5.467744640378119,0.0040178330018534325
12,1.6680577101598548,4.031184513627487,0.46234663864439773,5.240359730295342,0.0036949999994249083
13,0.7260164064214302,4.030616413809935,-0.011361996351041403,5.093411115408255,0.005611957996734418
14,-0.059760391896898524,4.000482976542868,-0.602668745341351,5.074083100177123,0.005041249998612329
15,-1.1286003876478259,3.9334931075598045,-1.3397973796612657,5.248324630790437,0.004405541003507096
16,-1.5740297948717061,3.8280096545738247,-2.109669059719599,5.703036704603909,0.004177916998742148
17,-1.7317047175080835,3.6857720513866,-2.8447520637444925,6.475956640530587,0.004197916001430713
18,-1.7236236569454957,3.5111929133961763,-3.4915827598084683,7.5587879302977585,0.0039270830020541325
19,-1.8821859473808742,3.3089507790115373,-4.04484268769278,8.906599471992772,0.003415374994801823
20,-1.8991492397493497,3.086218351440594,-4.454648551418862,10.485753033200032,0.00454337499832036
21,-1.8854503277883488,2.851420521686015,-4.695956595091586,11.512688007373075,0.004855792001762893
22,-1.7391357174449917,2.6143085677459843,-4.742239078800608,10.338824418834252,0.0023993750000954606
23,-1.9974724187570816,2.381085127028838,-4.6644688143429285,9.087482331504122,0.0018666670002858154
24,-1.961464814530629,2.1589990463237836,-4.441721614101086,7.849140658374351,0.0018962920003104955
25,-1.9992324126071483,1.953116445273082,-4.117652021014033,6.638162901983901,0.001958041997568216
26,-1.9954154839054523,1.7670607864969825,-3.7211131755219884,5.514151348365664,0.002281041000969708
27,-1.9849927823680953,1.602897752179189,-3.2832606863558715,4.51111234602572,0.0022022080011083744
28,-1.982904915452963,1.4613436107513675,-2.831082828556427,3.651193189301826,0.002875082995160483
29,-1.9999790458436268,1.342065227567286,-2.38556766368163,2.9410280630823626,0.003923708994989283
30,-1.9990373307023315,1.2443173728502728,-1.9549570943402623,2.374228533095115,0.005414624996774364
31,-1.9962502014327046,1.1671167958924502,-1.5440115391564522,1.9344964633148576,0.004102582999621518
32,-1.999169914339625,1.109408265276595,-1.154170612317102,1.6045554589054887,0.005172041004698258
33,-1.4650763247624567,1.074290489995822,-0.7023555056154581,1.366144127935048,0.005052915999840479
34,-1.9365279540506142,1.0576207197702232,-0.3333954045119765,1.2071805230391175,0.005146334005985409
35,-1.9791198455781918,1.0587771700992867,0.02312900658126854,1.1335937518254164,0.004932332994940225
36,-1.9290719290638239,1.07815646931809,0.38758598437606817,1.1247839095254997,0.004181999996944796
37,-1.6534606281507065,1.118175591339401,0.8003824404262155,1.1801775939097707,0.003846375002467539
38,-1.7639246755699105,1.1786891813618992,1.2102718004499664,1.3174892884225666,0.004929125003400259
39,-1.45415865217815,1.2629505525496203,1.6852274237544222,1.5378985467417288,0.005284124999889173
